url,Meta Title,Meta description
https://www.oceanbasket.com/,"Bazaraki","On our site you can buy, sell, swap or rent apartments, houses, furniture, telephones, computers, laptops, find a job and much more. Adding ads is completely free."
https://www.alphamega.com.cy/,"","Είμαστε η μεγαλύτερη κυπριακή και η ταχύτερα αναπτυσσόμενη αλυσίδα υπεραγορών στη χώρα. Ενημερωθείτε για την εταιρία και τις προσφορές μας."
http://php.net/,"PHP: Hypertext Preprocessor",""
